MO and Direction,KPI,Formula,Unit,DataSource
NRCellDU Downlink Direction,Average DL MAC DRB Throughput ,"8*(((PMMACVOLDLDRB)+(PMMACVOLDLDRBOVERLAPLASTSLOT))/
((PMMACTIMEDLDRB)-(PMMACOVERLAPTIMEDLDRBEXTSCELL)))",Mbps,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Downlink Direction,Normalized Average DL MAC Cell Throughput Considering Traffic,8*((PMMACVOLDL)/(PMPDSCHSCHEDACTIVITY)),Mbps,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Downlink Direction,Normalized DL MAC Cell Throughput Captured in gNodeB Considering Actual PDSCH Slot Only,8*((PMMACVOLDL)/(PMPDSCHAVAILTIME)),Mbps,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Downlink Direction,PDSCH Slot Utilization,100*((PMPDSCHSCHEDACTIVITY)/(PMPDSCHAVAILTIME)),%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Downlink Direction,DL RBSym Utilization,"100*(((PMMACRBSYMUSEDPDSCHTYPEA)+(PMMACRBSYMUSEDPDSCHTYPEB)+(PMMACRBSYMUSEDPDCCHTYPEA)+(PMMACRBSYMUSEDPDCCHTYPEB)+(PMMACRBSYMUSEDPDSCHTYPEABROADCASTING)+(PMMACRBSYMCSIRS))/
(PMMACRBSYMAVAILDL))",%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Downlink Direction,Percentage Unrestricted Volume DL,(100*((PMMACVOLDLDRBSINGLEBURST)+(PMMACVOLDLDRBSINGLESLOTSHORTBURST)+(PMMACVOLDLDRBLASTSLOT)))/((PMMACVOLDLDRB)+(PMMACVOLDLDRBLASTSLOT)+(PMMACVOLDLDRBSINGLEBURST)+(PMMACVOLDLDRBSINGLESLOTSHORTBURST)+(PMMACVOLDLDRBOVERLAPLASTSLOT)),%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Downlink Direction,5G User Data Traffic Volume on Downlink,(PMMACVOLDLDRB+PMMACVOLDLDRBSINGLEBURST+PMMACVOLDLDRBOVERLAPLASTSLOT)/(1000*1000*1000),GB,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Uplink Direction,Average UL MAC UE Throughput ,8*((PMMACVOLULRESUE)/(PMMACTIMEULRESUE)),Mbps,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Uplink Direction,Normalized Average UL MAC Cell Throughput Captured in gNodeB Considering Successful PUSCH Slot Only,8*((PMMACVOLUL)/(PMPUSCHSCHEDACTIVITY)),Mbps,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Uplink Direction,Normalized Average UL MAC Cell Throughput Captured in gNodeB Considering Actual PUSCH Slot Only,8*((PMMACVOLUL)/(PMPUSCHAVAILTIME)),Mbps,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Uplink Direction,PUSCH Slot Utilization,100*((PMPUSCHSCHEDACTIVITY)/(PMPUSCHAVAILTIME)),%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Uplink Direction,UL RBSym Utilization,"100*(((PMMACRBSYMUSEDPUSCHTYPEA)+(PMMACRBSYMUSEDPUSCHTYPEB))/
(PMMACRBSYMAVAILUL))",%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Uplink Direction,Percentage Unrestricted Volume UL,"(100*((PMMACVOLULUNRESUE)+(PMMACVOLULUELASTSLOT)))/
(((PMMACVOLULUNRESUE)+(PMMACVOLULUELASTSLOT))+((PMMACVOLULRESUE)+(PMMACVOLULRESUELATE)))",%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU Downlink Direction,5G User Data Traffic Volume on Uplink,(PMMACVOLUL)/(1000*1000*1000),GB,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU,Partial Cell Availability for gNodeB Cell,"100*((1-(AVG(PMCELLDOWNTIMEAUTO)+AVG(PMCELLDOWNTIMEMAN)))/
((60*AVG(PERIOD_DURATION))",%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU,UE Context Setup Success Rate,100*(PMUECTXTSETUPSUCC))/(PMUECTXTSETUPATT),%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
NRCellDU,Random Access Success Rate ,100*((PMRADIORACBSUCCMSG3)/(PMRADIORACBATTMSG2)),%,pm_DC_E_NR_NRCELLDU_HOUR(Cell Level)_Week01&02-2026
,EN-DC User Data Traffic Volume on LTE ,8*(PMFLEXPDCPVOLDLDRB[Endc2To99] + PMFLEXPDCPVOLULDRB[Endc2To99])/(1000*1000),GB,pm_DC_E_ERBS_EUTRANCELLFDD_FLEX_HOUR(Cell Level)_FLEXPIVOT_week01and02-2026
