
"Datetime","Cell Availability","Signaling (SDCCH) Congestion","Signaling (SDCCH) Drop Rate","Traffic Volume on Traffic Channels (TCH)","Traffic Channel (TCH) Assignment Success Rate","Subscriber Perceived TCH Congestion","Call Drop Rate","Call Minutes Per Drop","Handover Success Rate","Handover Drop Rate","Good Voice Qual Ratio UL"
"11/24/2025 12:00","99.72","0","0.1","344.55","99.96","0","0.26","9.93","99.33","0.08","91.03"
"11/24/2025 01:00","99.67","0","0.08","168.86","99.94","0","0.33","8.17","99.22","0.07","91.71"
"11/24/2025 02:00","99.74","0","0.08","90.99","99.96","0","0.21","12.33","99.05","0","91.76"
"11/24/2025 03:00","99.75","0","0.05","57.74","99.94","0","0.06","39.12","99.5","0.03","91.58"
"11/24/2025 04:00","99.74","0","0.07","52.18","99.87","0","0.39","5.89","98.99","0.2","89.31"
"11/24/2025 05:00","99.72","0","0.11","86.62","99.93","0","0.19","8.38","98.82","0.07","90.96"
"11/24/2025 06:00","99.69","0","0.14","425.55","99.94","0","0.2","7.21","98.89","0.13","88.95"
"11/24/2025 07:00","99.59","0","0.13","1,660.07","99.95","0","0.22","8.03","99.1","0.09","88.48"
"11/24/2025 08:00","99.71","0","0.13","3,582.11","99.94","0","0.24","8.76","99.14","0.09","88.01"
"11/24/2025 09:00","99.53","0","0.13","5,596.18","99.95","0","0.25","9.59","99.09","0.08","86.65"
"11/24/2025 10:00","99.54","0","0.13","6,785.36","99.95","0","0.26","9.58","99.18","0.07","86.1"
"11/24/2025 11:00","99.52","0","0.14","7,310.65","99.95","0","0.27","9.11","99.1","0.09","85.52"
"11/24/2025 12:00","99.53","0.02","0.13","7,345.59","99.94","0","0.3","7.75","99.13","0.08","85.25"
"11/24/2025 01:00","99.65","0","0.14","7,645.48","99.95","0","0.3","8.02","99.12","0.08","84.9"
"11/24/2025 02:00","99.58","0.01","0.15","7,238.83","99.94","0","0.31","7.95","99.08","0.08","85.03"
"11/24/2025 03:00","99.74","0","0.15","7,166","99.95","0","0.31","7.94","99.1","0.09","84.72"
"11/24/2025 04:00","99.91","0","0.14","6,908.29","99.94","0","0.31","7.7","99.12","0.09","84.66"
"11/24/2025 05:00","99.92","0","0.15","5,929.53","99.95","0","0.28","8.9","99.14","0.08","86.07"
"11/24/2025 06:00","99.95","0","0.15","4,990.14","99.95","0","0.24","10.58","99.23","0.06","87.85"
"11/24/2025 07:00","99.84","0","0.17","4,444.03","99.95","0","0.29","9.68","99.17","0.07","88.76"
"11/24/2025 08:00","100","0","0.14","3,780.08","99.97","0","0.24","11.99","99.13","0.05","89.47"
"11/24/2025 09:00","99.96","0","0.17","2,546.79","99.96","0","0.25","11.7","99.24","0.06","90.39"
"11/24/2025 10:00","99.92","0","0.19","1,540.1","99.95","0","0.25","11.34","99.32","0.07","91.04"
"11/24/2025 11:00","99.96","0","0.15","753.83","99.98","0","0.2","12.31","99.32","0.05","91.19"
"11/25/2025 12:00","99.97","0","0.14","350.22","99.94","0","0.22","11.3","99.42","0.06","91.49"
"11/25/2025 01:00","99.99","0","0.11","135.48","99.97","0","0.27","9.18","99.09","0.05","91.91"
"11/25/2025 02:00","100","0","0.08","83.59","99.98","0","0.14","16.18","98.66","0.09","90.91"
"11/25/2025 03:00","99.98","0","0.12","48.98","100","0","0.31","6.03","99.22","0.03","90.36"
"11/25/2025 04:00","99.98","0","0.05","43.89","99.9","0","0.35","5.41","98.33","0.24","89.74"
"11/25/2025 05:00","100","0","0.08","86.64","99.97","0","0.28","6.52","98.82","0.13","91.53"
"11/25/2025 06:00","100","0","0.1","393.26","99.96","0","0.19","8.07","98.83","0.11","89.29"
"11/25/2025 07:00","100","0","0.14","1,633.56","99.95","0","0.21","8.42","99.06","0.1","88.53"
"11/25/2025 08:00","99.91","0.01","0.13","3,510.06","99.94","0","0.3","7.26","99.14","0.08","87.97"
"11/25/2025 09:00","99.88","0.01","0.15","5,429.33","99.95","0","0.32","7.47","99.12","0.1","86.77"
"11/25/2025 10:00","99.97","0.16","0.15","6,603.67","99.94","0","0.29","8.58","99.14","0.07","86.09"
"11/25/2025 11:00","99.78","0","0.12","7,080.05","99.96","0","0.27","9.2","99.11","0.07","85.63"
"11/25/2025 12:00","99.74","0","0.15","7,068.9","99.93","0","0.27","8.76","99.11","0.08","85.3"
"11/25/2025 01:00","99.58","0.01","0.15","7,318.49","99.94","0","0.28","8.73","99.08","0.08","85.07"
"11/25/2025 02:00","99.6","0","0.15","6,935.81","99.94","0","0.3","8.17","99.11","0.09","85.17"
"11/25/2025 03:00","99.94","0","0.16","6,965.76","99.94","0","0.3","8.25","99.13","0.09","85.22"
"11/25/2025 04:00","99.95","0.01","0.15","6,743.08","99.95","0","0.29","8.14","99.11","0.08","85.02"
"11/25/2025 05:00","99.97","0","0.15","5,838.22","99.95","0","0.28","8.97","99.12","0.08","86.65"
"11/25/2025 06:00","99.94","0","0.14","4,985.23","99.95","0","0.25","10.13","99.09","0.07","87.53"
"11/25/2025 07:00","99.85","0","0.16","4,438.18","99.96","0","0.27","10.24","99.15","0.06","88.53"
"11/25/2025 08:00","99.92","0","0.16","3,688.4","99.95","0","0.25","11.23","99.14","0.06","89.31"
"11/25/2025 09:00","99.86","0","0.17","2,702.84","99.96","0","0.27","11.03","99.13","0.06","90.34"
"11/25/2025 10:00","99.84","0","0.18","1,642.15","99.96","0","0.24","11.84","99.24","0.05","90.77"
"11/25/2025 11:00","99.84","0.01","0.16","811.41","99.98","0","0.21","12.22","99.26","0.03","90.73"
"11/26/2025 12:00","99.76","0","0.14","361.44","99.95","0","0.31","8.3","99","0.09","91.52"
"11/26/2025 01:00","99.72","0.01","0.09","186.73","99.97","0","0.19","14.88","99.26","0.05","91.26"
"11/26/2025 02:00","99.67","0","0.07","99.26","99.98","0","0.38","7.47","98.87","0.14","90.12"
