Datetime,earfcndl,Total LTE Traffic Volume (GB)
11/03/2025 00:00,500,65.67
11/03/2025 00:00,1799,"2,899.92"
11/03/2025 00:00,3550,361.72
11/03/2025 00:00,6400,708.31
11/03/2025 01:00,500,43.07
11/03/2025 01:00,1799,"1,785.35"
11/03/2025 01:00,3550,197.32
11/03/2025 01:00,6400,426.52
11/03/2025 02:00,500,23.96
11/03/2025 02:00,1799,"1,078.66"
11/03/2025 02:00,3550,110.92
11/03/2025 02:00,6400,256.58
11/03/2025 03:00,500,17.66
11/03/2025 03:00,1799,691.7
11/03/2025 03:00,3550,72.17
11/03/2025 03:00,6400,163.54
11/03/2025 04:00,500,18.48
11/03/2025 04:00,1799,518.16
11/03/2025 04:00,3550,54.51
11/03/2025 04:00,6400,131.32
11/03/2025 05:00,500,12.38
11/03/2025 05:00,1799,589.59
11/03/2025 05:00,3550,59.34
11/03/2025 05:00,6400,153.54
11/03/2025 06:00,500,37.46
11/03/2025 06:00,1799,"1,448.79"
11/03/2025 06:00,3550,147.38
11/03/2025 06:00,6400,372.58
11/03/2025 07:00,500,138.4
11/03/2025 07:00,1799,"3,472.57"
11/03/2025 07:00,3550,342.1
11/03/2025 07:00,6400,798.7
11/03/2025 08:00,500,176.9
11/03/2025 08:00,1799,"4,516.55"
11/03/2025 08:00,3550,526.44
11/03/2025 08:00,6400,979.48
11/03/2025 09:00,500,196.83
11/03/2025 09:00,1799,"5,247.59"
11/03/2025 09:00,3550,663.36
11/03/2025 09:00,6400,"1,190.38"
11/03/2025 10:00,500,204.19
11/03/2025 10:00,1799,"5,680.30"
11/03/2025 10:00,3550,719.76
11/03/2025 10:00,6400,"1,349.33"
11/03/2025 11:00,500,218.54
11/03/2025 11:00,1799,"6,299"
11/03/2025 11:00,3550,863.64
11/03/2025 11:00,6400,"1,536.14"
11/03/2025 12:00,500,236.6
11/03/2025 12:00,1799,"6,871.79"
11/03/2025 12:00,3550,950.29
11/03/2025 12:00,6400,"1,667.73"
11/03/2025 13:00,500,434.17
11/03/2025 13:00,1799,"6,615.28"
11/03/2025 13:00,3550,950.13
11/03/2025 13:00,6400,"1,606.43"
11/03/2025 14:00,500,460.27
11/03/2025 14:00,1799,"6,624.91"
11/03/2025 14:00,3550,913.37
11/03/2025 14:00,6400,"1,643.34"
11/03/2025 15:00,500,487.47
11/03/2025 15:00,1799,"6,549.58"
11/03/2025 15:00,3550,939.09
11/03/2025 15:00,6400,"1,618.17"
11/03/2025 16:00,500,501.69
11/03/2025 16:00,1799,"6,250.79"
11/03/2025 16:00,3550,851.16
11/03/2025 16:00,6400,"1,564.54"
11/03/2025 17:00,500,496.43
11/03/2025 17:00,1799,"5,917.09"
11/03/2025 17:00,3550,826.92
11/03/2025 17:00,6400,"1,539.15"
11/03/2025 18:00,500,454.77
