Datetime,Cell Availability (%),Cell UnAvailability due to fault (%),Cell UnAvailability due to operation (%),RRC Connection Establishment Success (%),S1 Connection Establishment Success (%),E-RAB Only Establishment Success (%),Initial E-RAB Establishment Success (%),E-RAB Drop Ratio-Overall (%),E-RAB Drop due to MME (%),E-RAB Drop due to eNB (%),E-RAB Drops per Hour (Overall),E-RAB Drops per Hour due to MME,E-RAB Drops per Hour due to eNB,Handover Success Ratio (%),Handover Execution Succes Ratio (%),Handover Preparation Succes Ratio (%),Average DL PDCP UE Throughput Overall (Mbps),Average DL PDCP UE Throughput with CA (Mbps),4G DL PDCP Traffic Volume with CA (GB),4G DL PDCP Traffic Volume without CA (GB),4G DL PDCP Traffic Volume Overall (GB),Average UL PDCP UE Throughput Overall (Mbps),Average DL PDCP UE Throughput with CA (Mbps),4G UL PDCP Traffic Volume Overall (GB),4G UL PDCP Traffic Volume with CA (GB),Connected LTE Users (Avg),Connected LTE User (Max),Average DL MAC Cell Throughput (Mbps),4G DL MAC Traffic Volume (GB),Average UL MAC Cell Throughput (Mbps),4G UL MAC Traffic Volume (GB),Downlink Latency (ms),Uplink Packet Loss (%)
11/03/2025 00:00,99.44,0.21,0.35,99.92,99.99,99.94,99.85,0.49,0.38,0.11,3.3,2.54,0.76,98.23,98.35,99.87,32.22,44.64,2820,753.87,3574,3.47,44.64,155,6,"22,305","42,415",23.01,3644,3.44,555,4.31,0.03
11/03/2025 01:00,99.43,0.22,0.35,99.92,99.99,99.96,99.87,0.33,0.25,0.08,2.77,2.12,0.65,97.97,98.08,99.89,39.61,55.52,1702,459.58,2162,3.71,55.52,102,2,"15,989","33,106",22.46,2208,3.27,350,4.2,0.02
11/03/2025 02:00,99.42,0.23,0.35,99.92,99.99,99.97,99.88,0.23,0.18,0.06,2.52,1.91,0.61,97.65,97.78,99.87,43.41,62,985,288,1273,4.68,62,82,2,"12,687","28,603",21.08,1303,3.29,236,4.17,0.02
11/03/2025 03:00,99.44,0.21,0.35,99.91,99.99,99.97,99.87,0.19,0.14,0.05,2.54,1.89,0.64,97.41,97.52,99.89,45.62,65.2,617,200.87,818,4.35,65.2,52,1,"11,022","26,078",19.58,838,2.95,155,4.2,0.02
11/03/2025 04:00,99.11,0.54,0.35,99.91,99.98,99.97,99.87,0.16,0.11,0.04,2.45,1.78,0.68,97.33,97.52,99.81,46.38,66.36,467,165.23,632,3.23,66.36,34,1,"10,231","24,810",19.72,647,2.65,112,4.39,0.03
11/03/2025 05:00,99.18,0.47,0.35,99.92,99.99,99.97,99.87,0.19,0.14,0.05,3.07,2.19,0.88,98.2,98.34,99.86,43.69,65.22,496,223.37,720,3.16,65.22,37,1,"11,039","26,770",20.52,736,2.59,117,4.6,0.05
11/03/2025 06:00,99.44,0.21,0.35,99.92,99.96,99.93,99.81,0.46,0.35,0.11,5.58,4.27,1.31,98.51,98.68,99.83,34.98,52.11,1250,574.12,1825,2.19,52.11,63,3,"18,065","40,055",22.66,1859,2.47,226,4.88,0.06
11/03/2025 07:00,99.44,0.21,0.35,99.9,99.96,99.88,99.74,0.99,0.78,0.22,9.14,7.14,2,98.22,98.35,99.87,21.44,28.08,3187,"1,108.52",4296,2.2,28.08,159,7,"37,041","69,505",22.39,4378,2.78,563,5.09,0.07
11/03/2025 08:00,99.49,0.16,0.35,99.9,99.97,99.88,99.75,1.09,0.85,0.24,8.99,7.01,1.98,97.92,98.05,99.87,18.6,23.47,4241,"1,310.79",5552,2.11,23.47,215,12,"49,576","84,217",21.51,5661,2.94,800,5.1,0.06
11/03/2025 09:00,99.41,0.24,0.35,99.9,99.97,99.87,99.73,1.19,0.93,0.26,8.64,6.75,1.89,97.67,97.8,99.86,14.15,17.56,4916,"1,543.92",6460,1.91,17.56,272,14,"58,258","94,071",20.21,6591,3.05,1031,5.05,0.07
