Date,ERBS Name,Total LTE Traffic Volume (GB),4G UL PDCP Total Traffic Volume (GB),4G DL PDCP Total Traffic Volume (GB)
11/03/2025,abria,55.65,6,50
11/04/2025,abria,52.41,6,47
11/05/2025,abria,52.58,6,46
11/06/2025,abria,63.43,7,56
11/07/2025,abria,61.04,5,56
11/08/2025,abria,65.3,8,57
11/09/2025,abria,75.37,8,68
11/10/2025,abria,57.65,5,52
11/11/2025,abria,55.88,6,50
11/12/2025,abria,52.61,7,46
11/13/2025,abria,54.16,6,48
11/14/2025,abria,61.96,7,55
11/15/2025,abria,66.3,7,60
11/16/2025,abria,86.34,9,77
11/17/2025,abria,62.98,7,56
11/18/2025,abria,60.21,6,54
11/19/2025,abria,50.34,5,45
11/20/2025,abria,62.13,6,56
11/21/2025,abria,65.87,6,60
11/22/2025,abria,75.75,8,67
11/23/2025,abria,80.44,8,72
11/24/2025,abria,82.56,9,73
11/25/2025,abria,75.31,8,67
11/26/2025,abria,60.07,6,54
11/27/2025,abria,57.92,7,51
11/28/2025,abria,67.68,7,61
11/29/2025,abria,77.5,8,70
11/30/2025,abria,85.73,8,77
12/01/2025,abria,66.72,6,60
12/02/2025,abria,57.06,6,51
12/03/2025,abria,85.48,9,77
12/04/2025,abria,68.92,9,60
12/05/2025,abria,67.98,7,61
12/06/2025,abria,69.69,8,62
12/07/2025,abria,77.02,9,68
11/03/2025,aeroporti,466.21,56,410
11/04/2025,aeroporti,432.09,46,386
11/05/2025,aeroporti,447.31,56,392
11/06/2025,aeroporti,481.15,62,419
11/07/2025,aeroporti,488.94,64,425
11/08/2025,aeroporti,525.23,63,463
11/09/2025,aeroporti,597.69,67,531
11/10/2025,aeroporti,449.11,55,394
11/11/2025,aeroporti,492.12,55,437
11/12/2025,aeroporti,497.27,61,436
11/13/2025,aeroporti,438.63,53,386
11/14/2025,aeroporti,623.75,76,548
11/15/2025,aeroporti,563.33,63,500
11/16/2025,aeroporti,529.99,61,469
11/17/2025,aeroporti,441.61,49,392
11/18/2025,aeroporti,440.88,48,392
11/19/2025,aeroporti,480.28,59,421
11/20/2025,aeroporti,499.12,59,440
11/21/2025,aeroporti,538.62,64,475
11/22/2025,aeroporti,527.79,62,466
11/23/2025,aeroporti,578.78,60,519
11/24/2025,aeroporti,434.49,47,388
11/25/2025,aeroporti,413.33,49,364
11/26/2025,aeroporti,513.24,61,453
11/27/2025,aeroporti,509.63,66,444
11/28/2025,aeroporti,574.08,67,508
11/29/2025,aeroporti,520.11,63,457
11/30/2025,aeroporti,552.39,63,490
12/01/2025,aeroporti,471.03,52,419
12/02/2025,aeroporti,419.27,52,367
12/03/2025,aeroporti,467.65,59,408
12/04/2025,aeroporti,459.77,53,407
12/05/2025,aeroporti,489.58,60,429
12/06/2025,aeroporti,511.93,61,451
12/07/2025,aeroporti,553.06,63,490
11/03/2025,akllapi,81.04,8,73
11/04/2025,akllapi,86.77,11,76
11/05/2025,akllapi,88.8,10,79
11/06/2025,akllapi,88.97,9,80
11/07/2025,akllapi,72.7,7,66
11/08/2025,akllapi,118,13,105
11/09/2025,akllapi,85.57,10,76
11/10/2025,akllapi,85.59,9,77
11/11/2025,akllapi,84.04,9,75
11/12/2025,akllapi,77.83,8,70
11/13/2025,akllapi,83.36,10,73
11/14/2025,akllapi,75.65,10,66
11/15/2025,akllapi,84.8,11,74
11/16/2025,akllapi,78.25,9,69
11/17/2025,akllapi,85.61,9,77
11/18/2025,akllapi,78.64,8,71
11/19/2025,akllapi,75.87,10,66
11/20/2025,akllapi,87.46,9,78
11/21/2025,akllapi,97.98,10,88
11/22/2025,akllapi,99.57,11,88
11/23/2025,akllapi,79.89,9,71
11/24/2025,akllapi,73.77,8,66
11/25/2025,akllapi,75.89,7,69
11/26/2025,akllapi,86.2,11,76
11/27/2025,akllapi,66.48,8,58
11/28/2025,akllapi,60.2,6,55
11/29/2025,akllapi,98.15,10,89
11/30/2025,akllapi,91.2,11,80
12/01/2025,akllapi,83.59,9,74
12/02/2025,akllapi,75.46,8,67
12/03/2025,akllapi,80.31,9,72
12/04/2025,akllapi,91.2,10,81
12/05/2025,akllapi,104.4,10,95
12/06/2025,akllapi,85.56,8,78
12/07/2025,akllapi,94.55,10,85
11/03/2025,albi_mall,40.96,6,35
11/04/2025,albi_mall,45.91,7,39
11/05/2025,albi_mall,43.14,7,37
11/06/2025,albi_mall,49.49,9,40
11/07/2025,albi_mall,52.29,7,45
11/08/2025,albi_mall,72.74,10,63
11/09/2025,albi_mall,72.59,10,62
11/10/2025,albi_mall,43.51,6,37
11/11/2025,albi_mall,50.77,8,43
11/12/2025,albi_mall,47.33,7,40
11/13/2025,albi_mall,43.31,6,37
11/14/2025,albi_mall,48.95,8,41
11/15/2025,albi_mall,64.33,9,55
11/16/2025,albi_mall,64.11,9,55
11/17/2025,albi_mall,36.7,6,30
11/18/2025,albi_mall,42.64,6,37
11/19/2025,albi_mall,51.82,7,45
11/20/2025,albi_mall,42.04,6,36
11/21/2025,albi_mall,44.03,6,38
11/22/2025,albi_mall,55.02,8,47
11/23/2025,albi_mall,58.32,10,48
11/24/2025,albi_mall,36.49,5,31
11/25/2025,albi_mall,41.07,6,35
11/26/2025,albi_mall,51.56,8,44
11/27/2025,albi_mall,53.01,8,45
11/28/2025,albi_mall,95.96,17,79
11/29/2025,albi_mall,69.96,10,60
